id	organism name	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA	domain	phylum	class	order	family	genus
1	Oryza sativa Indica Group	AAAA.gz	AAAA02000001-AAAA02050231	50230	410675192	PLN	2002-01-04	2004-10-21	PRJNA361	SAMN02953581		Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza
2	Listeria monocytogenes	AAAABA.gz	AAAABA020000001-AAAABA020000017	17	2937088	BCT	2018-06-16	2024-10-18	PRJNA212117	SAMN02265449	SRR945150	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
3	Clostridioides difficile	AAAABB.gz	AAAABB010000001-AAAABB010000254	254	4061141	BCT	2019-01-08	2019-01-30	PRJNA278886	SAMN10715316	SRR8419280	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides
4	Clostridioides difficile	AAAABC.gz	AAAABC010000001-AAAABC010000071	71	4221082	BCT	2019-01-08	2019-01-30	PRJNA278886	SAMN10715306	SRR8419290	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides
5	Clostridioides difficile	AAAABD.gz	AAAABD010000001-AAAABD010000158	158	4050811	BCT	2019-01-10	2019-01-30	PRJNA278886	SAMN10719662	SRR8426766	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides
6	Listeria monocytogenes	AAAABE.gz	AAAABE010000001-AAAABE010000020	20	2963722	BCT	2018-11-06	2019-02-01	PRJNA212117	SAMN10387713	SRR8164899	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
7	Listeria monocytogenes	AAAABF.gz	AAAABF010000001-AAAABF010000027	27	3018580	BCT	2018-11-06	2019-02-01	PRJNA212117	SAMN10387722	SRR8164939	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
8	Listeria monocytogenes	AAAABG.gz	AAAABG010000001-AAAABG010000019	19	3149367	BCT	2018-11-06	2020-03-09	PRJNA215355	SAMN10129610	SRR8133971	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
9	Listeria monocytogenes	AAAABH.gz	AAAABH010000001-AAAABH010000071	71	2996738	BCT	2018-11-06	2020-03-09	PRJNA215355	SAMN10346448	SRR8134413	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
10	Listeria monocytogenes	AAAABI.gz	AAAABI010000001-AAAABI010000134	134	3006068	BCT	2018-11-07	2019-02-01	PRJNA212117	SAMN10391514	SRR8170479	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
11	Listeria monocytogenes	AAAABJ.gz	AAAABJ010000001-AAAABJ010000044	44	3066123	BCT	2018-11-07	2020-03-09	PRJNA215355	SAMN10382448	SRR8172394	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
12	Listeria monocytogenes	AAAABK.gz	AAAABK010000001-AAAABK010000017	17	2914226	BCT	2018-11-08	2020-03-09	PRJNA215355	SAMN02922257	SRR8175767	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
13	Listeria monocytogenes	AAAABL.gz	AAAABL010000001-AAAABL010000016	16	2899328	BCT	2018-11-08	2020-03-09	PRJNA215355	SAMN10393045	SRR8175789	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
14	Listeria monocytogenes	AAAABM.gz	AAAABM010000001-AAAABM010000031	31	2904358	BCT	2018-11-08	2020-03-09	PRJNA215355	SAMN10393067	SRR8175791	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
15	Listeria monocytogenes	AAAABN.gz	AAAABN010000001-AAAABN010000037	37	2923241	BCT	2018-11-08	2020-03-09	PRJNA215355	SAMN10393032	SRR8175813	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
16	Listeria monocytogenes	AAAABO.gz	AAAABO010000001-AAAABO010000064	64	3128170	BCT	2018-11-08	2020-03-09	PRJNA215355	SAMN10368214	SRR8146160	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
17	Listeria monocytogenes	AAAABP.gz	AAAABP010000001-AAAABP010000062	62	2946512	BCT	2018-11-09	2019-02-01	PRJNA212117	SAMN10405316	SRR8178572	Bacteria	Bacillota	Bacilli	Bacillales	Listeriaceae	Listeria
